Fixed,Naive,Honest_Split
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.06
0.002,0.002,0.01
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.004,0.002,0.038
0.002,0.002,0.05
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.052
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.114
0.002,0.002,0.002
0.006,0.002,0.052
0.004,0.002,0.104
0.002,0.002,0.056
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.11
0.002,0.002,0.002
0.002,0.002,0.12
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.004
0.004,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.004,0.002,0.026
0.002,0.002,0.066
0.002,0.002,0.014
0.002,0.002,0.012
0.002,0.002,0.084
0.002,0.002,0.078
0.002,0.002,0.004
0.002,0.002,0.018
0.002,0.002,0.59
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.01
0.002,0.002,0.144
0.01,0.006,0.26
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.008
0.004,0.002,0.014
0.002,0.002,0.01
0.002,0.002,0.028
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.076
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.044
0.002,0.002,0.006
0.002,0.002,0.092
0.002,0.002,0.002
0.002,0.002,0.08
0.002,0.002,0.002
0.002,0.002,0.202
0.002,0.002,0.08
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.032
0.002,0.002,0.018
0.004,0.002,0.024
0.002,0.002,0.006
0.002,0.002,0.006
0.004,0.002,0.024
0.002,0.002,0.004
0.002,0.002,0.896
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.014
0.002,0.002,0.006
0.004,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.1
0.002,0.002,0.002
0.01,0.002,0.04
0.002,0.002,0.012
0.002,0.002,0.002
0.006,0.002,0.026
0.002,0.002,0.334
0.002,0.002,0.138
0.002,0.002,0.08
0.002,0.002,0.032
0.002,0.002,0.002
0.002,0.002,0.066
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.012
0.004,0.002,0.01
0.002,0.002,0.042
0.002,0.002,0.002
0.002,0.002,0.076
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.066
0.002,0.002,0.002
0.002,0.002,0.246
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.062
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.044
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.442
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.022
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.026
0.002,0.002,0.034
0.004,0.002,0.056
0.008,0.002,0.014
0.01,0.002,0.082
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.114
0.002,0.002,0.01
0.004,0.002,0.012
0.002,0.002,0.024
0.002,0.002,0.012
0.002,0.002,0.004
0.002,0.002,0.072
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.036
0.002,0.002,0.606
0.002,0.002,0.056
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.006
0.002,0.002,0.38
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.008
0.002,0.002,0.008
0.002,0.002,0.008
0.004,0.002,0.054
0.002,0.002,0.008
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.064
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.006
0.004,0.002,0.014
0.002,0.002,0.504
0.002,0.002,0.018
0.008,0.002,0.038
0.002,0.002,0.014
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.152
0.002,0.002,0.042
0.002,0.002,0.004
0.002,0.002,0.064
0.012,0.002,0.148
0.006,0.002,0.022
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.002
0.002,0.002,0.1
0.002,0.002,0.334
0.002,0.002,0.002
0.004,0.002,0.112
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.02
0.004,0.002,0.032
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.186
0.002,0.002,0.004
0.004,0.002,0.01
0.002,0.002,0.03
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.016
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.03
0.002,0.002,0.628
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.014
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.166
0.002,0.002,0.004
0.002,0.002,0.03
0.002,0.002,0.006
0.002,0.002,0.58
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.036
0.004,0.002,0.074
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.012
0.002,0.002,0.006
0.002,0.002,0.008
0.004,0.002,0.004
0.002,0.002,0.058
0.002,0.002,0.126
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.118
0.002,0.002,0.002
0.002,0.002,0.338
0.002,0.002,0.022
0.002,0.002,0.006
0.008,0.002,0.37
0.002,0.002,0.108
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.018
0.006,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.032
0.002,0.002,0.046
0.002,0.002,0.008
0.002,0.002,0.004
0.006,0.002,0.712
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.022
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.04
0.002,0.002,0.056
0.002,0.002,0.046
0.002,0.002,0.016
0.002,0.002,0.102
0.002,0.002,0.024
0.002,0.002,0.002
0.002,0.002,0.006
0.006,0.002,0.04
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.016
0.002,0.002,0.002
0.002,0.002,0.024
0.004,0.002,0.026
0.002,0.002,0.01
0.002,0.002,0.04
0.002,0.002,0.002
0.016,0.006,0.102
0.002,0.002,0.094
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.054
0.002,0.002,0.012
0.002,0.002,0.016
0.002,0.002,0.256
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.002
0.004,0.002,0.026
0.004,0.002,0.126
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.042
0.002,0.002,0.14
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.032
0.002,0.002,0.014
0.002,0.002,0.056
0.002,0.002,0.032
0.002,0.002,0.024
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.002
0.006,0.002,0.01
0.002,0.002,0.008
0.002,0.002,0.008
0.002,0.002,0.016
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.004
0.002,0.002,0.008
0.002,0.002,0.006
0.024,0.004,0.076
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.288
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.084
0.002,0.002,0.02
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.01
0.002,0.002,0.018
0.002,0.002,0.018
0.002,0.002,0.002
0.002,0.002,0.018
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.012
0.002,0.002,0.026
0.004,0.002,0.082
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.848
0.004,0.002,0.01
0.002,0.002,0.002
0.044,0.03,0.192
0.002,0.002,0.002
0.002,0.002,0.034
0.002,0.002,0.004
0.002,0.002,0.002
0.012,0.002,0.064
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.012
0.002,0.002,0.084
0.002,0.002,0.032
0.002,0.002,0.002
